Id,Name,Type,Industry,AnnualRevenue,NumberOfEmployees,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Phone,Website,CreatedDate,LastModifiedDate,SystemModstamp
0011234567890AAAA1,Acme Corporation,Customer - Direct,Technology,50000000,500,123 Market St,San Francisco,CA,94105,USA,415-555-0001,www.acmecorp.com,2023-01-15T10:30:00.000Z,2024-06-20T14:22:00.000Z,2024-06-20T14:22:00.000Z
0011234567890AAAA2,Global Innovations Inc,Customer - Direct,Manufacturing,120000000,1200,456 Industrial Pkwy,Detroit,MI,48201,USA,313-555-0002,www.globalinnovations.com,2023-02-10T09:15:00.000Z,2024-07-15T11:30:00.000Z,2024-07-15T11:30:00.000Z
0011234567890AAAA3,Sunrise Healthcare,Customer - Direct,Healthcare,75000000,850,789 Medical Plaza,Boston,MA,02108,USA,617-555-0003,www.sunrisehealthcare.com,2023-03-22T13:45:00.000Z,2024-08-10T09:18:00.000Z,2024-08-10T09:18:00.000Z
0011234567890AAAA4,Pacific Retail Solutions,Customer - Channel,Retail,35000000,420,321 Commerce Blvd,Seattle,WA,98101,USA,206-555-0004,www.pacificretail.com,2023-04-05T08:20:00.000Z,2024-09-05T16:45:00.000Z,2024-09-05T16:45:00.000Z
0011234567890AAAA5,Sterling Financial Group,Customer - Direct,Finance,200000000,2500,100 Wall Street,New York,NY,10005,USA,212-555-0005,www.sterlingfinancial.com,2023-01-28T11:00:00.000Z,2024-10-12T10:20:00.000Z,2024-10-12T10:20:00.000Z
0011234567890AAAA6,EduTech Solutions,Prospect,Education,15000000,180,555 University Ave,Austin,TX,78701,USA,512-555-0006,www.edutechsolutions.com,2023-05-18T14:30:00.000Z,2024-11-01T13:15:00.000Z,2024-11-01T13:15:00.000Z
0011234567890AAAA7,GreenEnergy Partners,Customer - Direct,Energy,95000000,650,777 Sustainability Dr,Portland,OR,97201,USA,503-555-0007,www.greenenergy.com,2023-06-12T10:45:00.000Z,2024-11-15T08:30:00.000Z,2024-11-15T08:30:00.000Z
0011234567890AAAA8,Metro Transportation Co,Customer - Direct,Transportation,60000000,800,888 Transit Way,Chicago,IL,60601,USA,312-555-0008,www.metrotrans.com,2023-07-20T09:00:00.000Z,2024-12-01T15:40:00.000Z,2024-12-01T15:40:00.000Z
0011234567890AAAA9,FoodService Distributors,Channel Partner / Reseller,Food & Beverage,45000000,550,999 Supply Chain Rd,Atlanta,GA,30301,USA,404-555-0009,www.foodservicedist.com,2023-08-08T12:15:00.000Z,2024-12-10T11:25:00.000Z,2024-12-10T11:25:00.000Z
0011234567890AAA10,TechStart Ventures,Prospect,Technology,5000000,45,222 Innovation Ln,Palo Alto,CA,94301,USA,650-555-0010,www.techstart.com,2024-01-10T10:00:00.000Z,2025-01-05T09:15:00.000Z,2025-01-05T09:15:00.000Z
0011234567890AAA11,Construction Solutions LLC,Customer - Direct,Construction,80000000,900,333 Builder Ave,Phoenix,AZ,85001,USA,602-555-0011,www.constructionsolutions.com,2023-09-15T13:30:00.000Z,2024-11-20T14:50:00.000Z,2024-11-20T14:50:00.000Z
0011234567890AAA12,Digital Media Group,Customer - Direct,Media,28000000,320,444 Content St,Los Angeles,CA,90001,USA,213-555-0012,www.digitalmediagroup.com,2023-10-22T11:45:00.000Z,2024-12-15T10:35:00.000Z,2024-12-15T10:35:00.000Z
0011234567890AAA13,Pharmaceutical Research Inc,Customer - Direct,Pharmaceuticals,150000000,1800,555 Discovery Blvd,Philadelphia,PA,19101,USA,215-555-0013,www.pharmaresearch.com,2023-02-28T09:30:00.000Z,2024-10-25T16:20:00.000Z,2024-10-25T16:20:00.000Z
0011234567890AAA14,Hospitality Management Co,Customer - Channel,Hospitality,42000000,620,666 Hotel Plaza,Las Vegas,NV,89101,USA,702-555-0014,www.hospitalitymgmt.com,2023-11-05T14:00:00.000Z,2024-12-20T12:45:00.000Z,2024-12-20T12:45:00.000Z
0011234567890AAA15,Telecom Solutions Inc,Customer - Direct,Telecommunications,110000000,1400,777 Network Dr,Denver,CO,80201,USA,303-555-0015,www.telecomsolutions.com,2023-03-18T10:20:00.000Z,2024-11-30T15:10:00.000Z,2024-11-30T15:10:00.000Z
0011234567890AAA16,Insurance Partners Ltd,Customer - Direct,Insurance,88000000,950,888 Risk Management Way,Hartford,CT,06101,USA,860-555-0016,www.insurancepartners.com,2023-12-01T08:45:00.000Z,2025-01-02T09:30:00.000Z,2025-01-02T09:30:00.000Z
0011234567890AAA17,Logistics Express,Customer - Direct,Transportation,55000000,700,999 Shipping Ln,Memphis,TN,38101,USA,901-555-0017,www.logisticsexpress.com,2023-04-25T13:15:00.000Z,2024-12-05T14:20:00.000Z,2024-12-05T14:20:00.000Z
0011234567890AAA18,BioTech Innovations,Prospect,Biotechnology,25000000,280,111 Science Park,San Diego,CA,92101,USA,619-555-0018,www.biotechinnovations.com,2024-02-14T11:30:00.000Z,2025-01-08T10:45:00.000Z,2025-01-08T10:45:00.000Z
0011234567890AAA19,Real Estate Ventures,Customer - Direct,Real Estate,65000000,380,222 Property Blvd,Miami,FL,33101,USA,305-555-0019,www.realestateventures.com,2023-05-30T09:50:00.000Z,2024-11-10T13:25:00.000Z,2024-11-10T13:25:00.000Z
0011234567890AAA20,Manufacturing Excellence,Customer - Direct,Manufacturing,92000000,1100,333 Factory Row,Pittsburgh,PA,15201,USA,412-555-0020,www.mfgexcellence.com,2023-06-20T14:40:00.000Z,2024-12-08T11:50:00.000Z,2024-12-08T11:50:00.000Z
0011234567890AAA21,Cloud Services Pro,Customer - Direct,Technology,38000000,450,444 Cloud Ave,Seattle,WA,98102,USA,206-555-0021,www.cloudservicespro.com,2023-07-12T10:15:00.000Z,2024-12-18T15:30:00.000Z,2024-12-18T15:30:00.000Z
0011234567890AAA22,Agricultural Solutions,Customer - Direct,Agriculture,48000000,560,555 Harvest Dr,Des Moines,IA,50301,USA,515-555-0022,www.agriculturesolutions.com,2023-08-25T12:30:00.000Z,2024-11-25T10:15:00.000Z,2024-11-25T10:15:00.000Z
0011234567890AAA23,Security Systems International,Customer - Channel,Security,32000000,400,666 Safety St,Dallas,TX,75201,USA,214-555-0023,www.securitysystems.com,2023-09-10T09:20:00.000Z,2024-12-22T14:05:00.000Z,2024-12-22T14:05:00.000Z
0011234567890AAA24,Fashion Retail Group,Customer - Direct,Retail,71000000,820,777 Style Plaza,New York,NY,10006,USA,212-555-0024,www.fashionretailgroup.com,2023-10-15T13:50:00.000Z,2024-12-28T12:20:00.000Z,2024-12-28T12:20:00.000Z
0011234567890AAA25,Automotive Parts Supply,Customer - Direct,Automotive,85000000,980,888 Motor Pkwy,Detroit,MI,48202,USA,313-555-0025,www.autopartssupply.com,2023-11-20T11:10:00.000Z,2025-01-03T16:40:00.000Z,2025-01-03T16:40:00.000Z
0011234567890AAA26,Software Development Inc,Prospect,Technology,18000000,210,999 Code St,Austin,TX,78702,USA,512-555-0026,www.softwaredev.com,2024-03-05T10:25:00.000Z,2025-01-06T11:15:00.000Z,2025-01-06T11:15:00.000Z
0011234567890AAA27,Chemical Manufacturing Co,Customer - Direct,Chemicals,105000000,1250,111 Process Ave,Houston,TX,77001,USA,713-555-0027,www.chemicalmanufacturing.com,2023-01-20T14:30:00.000Z,2024-10-30T09:45:00.000Z,2024-10-30T09:45:00.000Z
0011234567890AAA28,Consulting Services LLC,Customer - Direct,Consulting,22000000,260,222 Advisory Ln,Washington,DC,20001,USA,202-555-0028,www.consultingservices.com,2023-12-10T09:40:00.000Z,2024-12-30T13:55:00.000Z,2024-12-30T13:55:00.000Z
0011234567890AAA29,Entertainment Studios,Customer - Direct,Entertainment,52000000,640,333 Production Way,Los Angeles,CA,90002,USA,213-555-0029,www.entertainmentstudios.com,2023-02-18T12:20:00.000Z,2024-11-05T15:25:00.000Z,2024-11-05T15:25:00.000Z
0011234567890AAA30,Environmental Services,Customer - Direct,Environmental Services,41000000,490,444 Green St,Portland,OR,97202,USA,503-555-0030,www.environmentalservices.com,2023-03-28T10:55:00.000Z,2024-11-18T11:40:00.000Z,2024-11-18T11:40:00.000Z
0011234567890AAA31,Aerospace Technologies,Customer - Direct,Aerospace,175000000,2100,555 Flight Rd,Cape Canaveral,FL,32920,USA,321-555-0031,www.aerospacetech.com,2023-04-15T13:25:00.000Z,2024-10-20T14:30:00.000Z,2024-10-20T14:30:00.000Z
0011234567890AAA32,Legal Services Group,Customer - Direct,Legal,28000000,340,666 Justice Blvd,Boston,MA,02109,USA,617-555-0032,www.legalservicesgroup.com,2023-05-22T11:35:00.000Z,2024-12-12T10:50:00.000Z,2024-12-12T10:50:00.000Z
0011234567890AAA33,Packaging Solutions Inc,Customer - Channel,Packaging,36000000,440,777 Container St,Charlotte,NC,28201,USA,704-555-0033,www.packagingsolutions.com,2023-06-30T09:15:00.000Z,2024-12-25T16:15:00.000Z,2024-12-25T16:15:00.000Z
0011234567890AAA34,Data Analytics Corp,Customer - Direct,Technology,44000000,520,888 Insights Ave,San Francisco,CA,94106,USA,415-555-0034,www.dataanalytics.com,2023-07-18T14:45:00.000Z,2025-01-04T12:30:00.000Z,2025-01-04T12:30:00.000Z
0011234567890AAA35,Fitness & Wellness Co,Customer - Direct,Health & Wellness,19000000,240,999 Healthy Way,Denver,CO,80202,USA,303-555-0035,www.fitnesswellness.com,2023-08-20T10:30:00.000Z,2024-11-28T15:20:00.000Z,2024-11-28T15:20:00.000Z
0011234567890AAA36,Supply Chain Management,Customer - Direct,Logistics,67000000,780,111 Distribution Dr,Columbus,OH,43201,USA,614-555-0036,www.supplychainmgmt.com,2023-09-25T12:50:00.000Z,2024-12-02T11:35:00.000Z,2024-12-02T11:35:00.000Z
0011234567890AAA37,Advertising Agency Inc,Customer - Channel,Advertising,31000000,370,222 Creative Blvd,Chicago,IL,60602,USA,312-555-0037,www.advertisingagency.com,2023-10-30T11:20:00.000Z,2024-12-16T14:45:00.000Z,2024-12-16T14:45:00.000Z
0011234567890AAA38,Gaming Technologies,Prospect,Gaming,26000000,310,333 Player St,Las Vegas,NV,89102,USA,702-555-0038,www.gamingtech.com,2024-04-10T13:40:00.000Z,2025-01-07T10:25:00.000Z,2025-01-07T10:25:00.000Z
0011234567890AAA39,Mining Operations LLC,Customer - Direct,Mining,98000000,1150,444 Extraction Way,Salt Lake City,UT,84101,USA,801-555-0039,www.miningoperations.com,2023-01-25T09:55:00.000Z,2024-10-15T13:10:00.000Z,2024-10-15T13:10:00.000Z
0011234567890AAA40,Publishing House Group,Customer - Direct,Publishing,24000000,290,555 Book St,New York,NY,10007,USA,212-555-0040,www.publishinghouse.com,2023-11-12T14:15:00.000Z,2024-12-27T15:50:00.000Z,2024-12-27T15:50:00.000Z
0011234567890AAA41,Renewable Energy Co,Customer - Direct,Energy,72000000,840,666 Solar Dr,Phoenix,AZ,85002,USA,602-555-0041,www.renewableenergy.com,2023-02-20T10:40:00.000Z,2024-11-22T12:15:00.000Z,2024-11-22T12:15:00.000Z
0011234567890AAA42,Event Management Services,Customer - Direct,Events,16000000,195,777 Venue Ave,Orlando,FL,32801,USA,407-555-0042,www.eventmanagement.com,2023-12-15T12:25:00.000Z,2025-01-01T14:20:00.000Z,2025-01-01T14:20:00.000Z
0011234567890AAA43,Textile Manufacturing,Customer - Direct,Textile,53000000,690,888 Fabric Ln,Greensboro,NC,27401,USA,336-555-0043,www.textilemanufacturing.com,2023-03-30T11:50:00.000Z,2024-11-12T16:30:00.000Z,2024-11-12T16:30:00.000Z
0011234567890AAA44,Architecture & Design Firm,Customer - Direct,Architecture,29000000,350,999 Blueprint St,Portland,OR,97203,USA,503-555-0044,www.architecturedesign.com,2023-04-20T09:30:00.000Z,2024-12-09,T13:40:00.000Z,2024-12-09T13:40:00.000Z
0011234567890AAA45,Financial Advisory Group,Customer - Direct,Finance,39000000,460,111 Wealth Blvd,San Francisco,CA,94107,USA,415-555-0045,www.financialadvisory.com,2023-05-25T13:05:00.000Z,2024-12-19T10:55:00.000Z,2024-12-19T10:55:00.000Z
0011234567890AAA46,Water Treatment Systems,Customer - Direct,Utilities,47000000,570,222 Purification Way,Milwaukee,WI,53201,USA,414-555-0046,www.watertreatment.com,2023-06-28T10:50:00.000Z,2024-11-29T15:05:00.000Z,2024-11-29T15:05:00.000Z
0011234567890AAA47,Veterinary Services Inc,Customer - Direct,Healthcare,21000000,265,333 Animal Care Dr,Nashville,TN,37201,USA,615-555-0047,www.veterinaryservices.com,2023-07-22T14:20:00.000Z,2024-12-03T11:45:00.000Z,2024-12-03T11:45:00.000Z
0011234567890AAA48,Industrial Automation,Customer - Direct,Manufacturing,89000000,1050,444 Robotics Pkwy,Raleigh,NC,27601,USA,919-555-0048,www.industrialautomation.com,2023-08-30T12:35:00.000Z,2024-10-28T14:55:00.000Z,2024-10-28T14:55:00.000Z
0011234567890AAA49,Market Research Associates,Customer - Channel,Research,14000000,170,555 Survey St,Arlington,VA,22201,USA,703-555-0049,www.marketresearch.com,2023-09-18T11:00:00.000Z,2024-12-21T13:25:00.000Z,2024-12-21T13:25:00.000Z
0011234567890AAA50,Cybersecurity Solutions,Customer - Direct,Technology,63000000,750,666 Protection Ave,Austin,TX,78703,USA,512-555-0050,www.cybersecurity.com,2023-10-20T09:45:00.000Z,2025-01-09T15:10:00.000Z,2025-01-09T15:10:00.000Z
